Trophy,Class Position,Car Number,Driver Name,Car Model,Tire Mfg,Region,Run 1,Run 2,Run 3,Total Time,Medal,(blank),Codriver Car Number,Driver Town,Sponsor,(unknown),Division,Run 4,Run 5,Run 6,Diff Behind Next Fastest in Class,Rank PAX,Class Position,Class,Car Number,Driver Name,Car Model,Tire Mfg,Total Time,PAX Factor,PAX Time,Diff Behind Next Fastest PAX,Diff Behind 1st Place PAX,RTP Points,Car Year,Car Model,First Name,Last Name,City,State,Rank Overall
T,1,42,Cam Withell,2016 Porsche Cayman GT4,Bridgestone,Northwest,70.292,72.063,71.992,138.354,,,[142],"Chestermere, AB",,,Rocky Moun,70.866(1),68.213,68.062,,609,1,SS,42,Cam Withell,2016 Porsche Cayman GT4,Bridgestone,138.354,0.817,113.035,0.006,11.798,8956,2016,Porsche Cayman GT4,Cam,Withell,Chestermere,AB,665
T,2,86,G.J. Dixon,2007 Porsche GT3,Bridgestone,New York,71.084,72.994,71.916,138.633,,,[186],"Scarsdale, NY","Gand Prix New York, Monticello M",,Northeast,72.673(1),68.316,67.549,(0.279),620,2,SS,86,G.J. Dixon,2007 Porsche GT3,Bridgestone,138.633,0.817,113.263,0.010,12.026,8938,2007,Porsche GT3,G.J.,Dixon,Scarsdale,NY,678
T,3,96,Charles Kim,2010 Porsche GT3,Multi,Milwauke,70.107,71.405,DNF,138.899,,,,"Edina, MN",PuppyMonkeyBaby,,Central,70.115,68.973,68.792,(0.266),639,3,SS,96,Charles Kim,2010 Porsche GT3,Multi,138.899,0.817,113.480,0.016,12.243,8921,2010,Porsche GT3,Charles,Kim,Edina,MN,703
T,4,24,Ka Kit Gary Tsui,2009 Nissan GTR,Bridgestone,Northern N,69.819,72.816,71.756,138.949,,,,"Jersey City, NJ",TeamZFG | SJF Performance | PRI,,Northeast,77.950(3),69.937,69.130,(0.050),641,4,SS,24,Ka Kit Gary Tsui,2009 Nissan GTR,Bridgestone,138.949,0.817,113.521,0.040,12.284,8918,2009,Nissan GTR,Ka Kit Gary,Tsui,Jersey City,NJ,707
T,5,78,Pat Salerno,2016 Porsche GT4,Bridgestone,New York,71.122,78.090(2),73.258,139.518,,,[178],"Danbury, CT",,,Northeast,72.701(2),69.494,68.396,(0.569),663,5,SS,78,Pat Salerno,2016 Porsche GT4,Bridgestone,139.518,0.817,113.986,0.024,12.749,8882,2016,Porsche GT4,Pat,Salerno,Danbury,CT,740
T,6,87,Ambrose Fung,2014 Porsche GT3,Bridgestone,Northwest,71.479,72.992,71.791,139.882,,,[187],"Calgary, AB",Gods Blessings! Thanks Jay!!,,NorPac,DNF,68.403,68.455,(0.364),686,6,SS,87,Ambrose Fung,2014 Porsche GT3,Bridgestone,139.882,0.817,114.284,0.013,13.046,8858,2014,Porsche GT3,Ambrose,Fung,Calgary,AB,754
T,7,1,Andy Hollis,2012 McLaren 12C,Michelin*,Lone Star,69.691,71.223,71.191,140.125,,,,"Austin, TX",Grassroots Motorsports,,Southwest,73.921(1),71.149,70.434,(0.243),696,7,SS,1,Andy Hollis,2012 McLaren 12C,Michelin,140.125,0.817,114.482,0.018,13.245,8843,2012,McLaren 12C,Andy,Hollis,Austin,TX,763
T,8,186,Mark Daddio,2007 Porsche GT3,Bridgestone,New Eng,71.778,72.233,71.897,140.567,,,[86],"Seymour, CT",,,Northeast,73.059(1),68.789,71.623(2),(0.442),715,8,SS,186,Mark Daddio,2007 Porsche GT3,Bridgestone,140.567,0.817,114.843,0.002,13.606,8815,2007,Porsche GT3,Mark,Daddio,Seymour,CT,779
,9,142,Ryan Clark,2016 Porsche Cayman GT4,Bridgestone,Northwest,72.297,75.715(1),72.366,140.889,,,[42],"Calgary, AB",,,NorPac,75.593(3),DNF,68.592,(0.322),724,9,SS,142,Ryan Clark,2016 Porsche Cayman GT4,Bridgestone,140.889,0.817,115.106,0.019,13.869,8795,2016,Porsche Cayman GT4,Ryan,Clark,Calgary,AB,799
,10,176,Keith Brown,2016 Porsche Cayman GT4,Bridgestone,Northwest,72.591,73.634,72.372,141.955,,,[76],"Des Moines, WA",Solemn Cellars - Tastings Availab,,NorPac,70.161,69.583,69.669,(1.066),784,10,SS,176,Keith Brown,2016 Porsche Cayman GT4,Bridgestone,141.955,0.817,115.977,0.005,14.740,8729,2016,Porsche Cayman GT4,Keith,Brown,Des Moines,WA,842
,11,98,Monty Pack,2018 Porsche GT3,Bridgestone,San Franc,72.571,73.650,74.576,142.011,M,,,"San Francisco, CA",,,NorPac,69.623,69.440,71.503(1),(0.056),786,11,SS,98,Monty Pack,2018 Porsche GT3,Bridgestone,142.011,0.817,116.023,0.014,14.786,8726,2018,Porsche GT3,Monty,Pack,San Francisco,CA,848
,12,117,Dean Rindler,2017 Acura NSX,Bridgestone,Northwest,72.610,75.645,74.042,142.764,,,[17],"Troy, OH",HART,,Great Lakes,75.941,71.540,70.154,(0.753),835,12,SS,117,Dean Rindler,2017 Acura NSX,Bridgestone,142.764,0.817,116.638,0.002,15.401,8680,2017,Acura NSX,Dean,Rindler,Troy,OH,881
,13,183,Paul Dornburg,2018 Porsche 718 Cayman,GBridgestone,Southern I,72.719,73.260,DNF,143.376,M,,[83],"Owensboro, KY",Incontinent Racing,,Great Lakes,73.153(1),70.657,72.548(1),(0.612),872,13,SS,183,Paul Dornburg,2018 Porsche 718 Cayman,Bridgestone,143.376,0.817,117.138,0.023,15.901,8643,2018,Porsche 718 Cayman,Paul,Dornburg,Owensboro,KY,897
,14,187,Jay Zelazo,2014 Porsche GT3,Bridgestone,Northwest,78.819(1),DNF,73.690,143.411,,,[87],"Calgary, AB",Badlands Motorsports Resort,,NorPac,73.762(1),69.721,71.027(1),(0.035),876,14,SS,187,Jay Zelazo,2014 Porsche GT3,Bridgestone,143.411,0.817,117.167,0.014,15.930,8640,2014,Porsche GT3,Jay,Zelazo,Calgary,AB,900
,15,62,Keith Papulski,2018 Audi TT RS Coupe,Bridgestone,Colorado,72.058,73.961,72.747,143.949,M,,,"Morrison, CO",AutoHaus Boulder,,Rocky Moun,73.757,72.547,71.891,(0.538),911,15,SS,62,Keith Papulski,2018 Audi TT RS Coupe,Bridgestone,143.949,0.817,117.606,0.010,16.369,8608,2018,Audi TT RS Coupe,Keith,Papulski,Morrison,CO,927
,16,194,Jason Kohler,2016 Chevrolet Corvette Z0,Bridgestone*,Detroit,76.887,DNF,75.127,144.022,,,[94],"White Lake, MI",careers.gm.com,,Great Lakes,71.134,68.895,69.145,(0.073),919,16,SS,194,Jason Kohler,2016 Chevy Corvette Z06,N/A,144.022,0.817,117.666,0.000,16.429,8604,2016,Chevy Corvette Z06,Jason,Kohler,White Lake,MI,931
,17,76,Leeds Gulick,2016 Porsche Cayman GT4,Bridgestone,Northwest,72.840,75.521,73.093,144.470,,,[176],"Bellevue, WA",,,NorPac,71.630,74.543(1),72.616(1),(0.448),936,17,SS,76,Leeds Gulick,2016 Porsche Cayman GT4,Bridgestone,144.470,0.817,118.032,0.040,16.795,8577,2016,Porsche Cayman GT4,Leeds,Gulick,Bellevue,WA,964
,18,70,Terrance Pearson,2015 Porsche Cayman S,Bridgestone,Arctic Al,DNF,73.752,71.784,144.528,,,,"Chugiak, AK",Eight Star Racing,,NorPac,73.777,72.744,72.901,(0.058),939,18,SS,70,Terrance Pearson,2015 Porsche Cayman S,Bridgestone,144.528,0.817,118.079,0.009,16.842,8574,2015,Porsche Cayman S,Terrance,Pearson,Chugiak,AK,967
,19,178,Brian Conners,2016 Porsche GT4,Bridgestone,Philadelp,75.692,76.082,75.120,144.674,,,[78],"Philadelphia, PA",,,Northeast,70.774,69.554,69.935(1),(0.146),951,19,SS,178,Brian Conners,2016 Porsche GT4,Bridgestone,144.674,0.817,118.199,0.020,16.962,8565,2016,Porsche GT4,Brian,Conners,Philadelphia,PA,974
,20,94,Paul Townsend,2016 Chevrolet Corvette Z0,Bridgestone*,Western M,75.881,77.692,75.890,145.225,,,[194],"Fenton, MI",careers.gm.com,,Great Lakes,70.182,70.933,69.344,(0.551),984,20,SS,94,Paul Townsend,2016 Chevy Corvette Z06,Bridgestone,145.225,0.817,118.649,0.013,17.412,8533,2016,Chevy Corvette Z06,Paul,Townsend,Fenton,MI,992
,21,191,Christopher Heinzen,2017 Chevrolet Corvette Gr,Bridgestone,Detroit,76.878,77.037,75.810,146.086,,,[91],"Lake Orion, MI",careers.gm.com,,Great Lakes,71.179,70.544,70.276,(0.861),1029,21,SS,191,Christopher Heinzen,2017 Chevy Corvette GS,Bridgestone,146.086,0.817,119.352,0.006,18.115,8482,2017,Chevy Corvette GS,Christopher,Heinzen,Lake Orion,MI,1031
,22,181,Alex Muresan,2011 Porsche GT3,Bridgestone,San Franc,DNF,DNF,77.918(1),146.194,,,[81],"San Francisco, CA",LTBAUTOSPORTS.com,,NorPac,70.593(1),68.276,69.455(1),(0.108),1033,22,SS,181,Alex Muresan,2011 Porsche GT3,Bridgestone,146.194,0.817,119.440,0.001,18.203,8476,2011,Porsche GT3,Alex,Muresan,San Francisco,CA,1034
,23,17,Joel Zeller,2017 Acura NSX,Bridgestone,Northwest,DNF,74.247,DNF,147.815,,,[117],"Bellefontaine, OH",HART,,Great Lakes,77.825(2),76.182(2),73.568(1),(1.621),1089,23,SS,17,Joel Zeller,2017 Acura NSX,Bridgestone,147.815,0.817,120.765,0.028,19.528,8383,2017,Acura NSX,Joel,Zeller,Bellefontaine,OH,1100
,24,69,Chris Craig,2018 Porsche 718 Cayman S,Bridgestone*,Texas,83.444(1),77.295,DNF,149.033,,,,"Rhome, Tx",,,Southwest,DNF,73.708,71.738,(1.218),1124,24,SS,69,Chris Craig,2018 Porsche 718 Cayman S,Bridgestone,149.033,0.817,121.760,0.001,20.523,8314,2018,Porsche 718 Cayman S,Chris,Craig,Rhome,Tx,1149
,25,91,Bryan Larson,2017 Chevrolet Corvette Gr,Bridgestone,Western M,78.527,83.986(1),78.786,150.890,,,[191],"Fowlerville, MI",careers.gm.com,,Midwest,74.207,72.988,72.363,(1.857),1179,25,SS,91,Bryan Larson,2017 Chevy Corvette GS,Bridgestone,150.890,0.817,123.277,0.004,22.040,8212,2017,Chevy Corvette GS,Bryan,Larson,Fowlerville,MI,1195
,26,81,Tiberiu Muresan,2011 Porsche GT3,Bridgestone,San Franc,DNF,81.881,80.562,154.821,,,[181],"San Jose, CA",LTBAUTOSPORTS.COM,,Southwest,89.918,74.825,74.259,(3.931),1236,26,SS,81,Tiberiu Muresan,2011 Porsche GT3,Bridgestone,154.821,0.817,126.489,0.300,25.252,8004,2011,Porsche GT3,Tiberiu,Muresan,San Jose,CA,1275
,27,83,O D Terry Davis,Porsche Cayman GTS,Bridgestone,Southern I,79.173,81.307,81.894,159.502,M,,[183],"Newburgh, IN",,,Great Lakes,DNF,81.496,80.329,(4.681),1288,27,SS,83,O D Terry Davis,Porsche Cayman GTS,Bridgestone,159.502,0.817,130.313,0.012,29.076,7769,,Porsche Cayman GTS,O D Terry,Davis,Newburgh,IN,1311
,28,121,Jason Rippel,2017 Ford Mustang GT350,Bridgestone,Iowa,79.844,80.347,89.776(1),No Time,,,[21],"Reinbeck, IA",,,Midwest,DNS,DNS,DNS,,1348,28,SS,121,Jason Rippel,2017 Ford Mustang GT350,Bridgestone,No Time,0.817,999.999,––,––,––,2017,Ford Mustang GT350,Jason,Rippel,Reinbeck,IA,
,29,21,Ron Rippel,2017 Ford Shelby GT350R,Bridgestone,Iowa,DNF,84.949,82.184,No Time,,,[121],"Reinbeck, IA",,,Midwest,DNS,DNS,DNS,,1348,29,SS,21,Ron Rippel,2017 Ford Shelby GT350R,Bridgestone,No Time,0.817,999.999,––,––,––,2017,Ford Shelby GT350R,Ron,Rippel,Reinbeck,IA,
T,1,96,Jocelin Huang,2010 Porsche GT3,Multi,Milwauke,82.448(1),DNF,71.669,143.390,,,,"Edina, MN",PuppyMonkeyBaby,Porsche*,Central,71.729,72.205,71.721,,873,1,SSL,96,Jocelin Huang,2010 Porsche GT3,Multi,143.390,0.817,117.150,0.011,15.912,8642,2010,Porsche GT3,Jocelin,Huang,Edina,MN,899
T,2,194,Sharianne Ziola,2016 Chevrolet Corvette Z0,Multi,Detroit,89.614,77.920,74.216,146.456,,,[94],"White Lake, MI",careers.gm.com,Chevrolet*,Great Lakes,73.452,DNF,72.240,(3.066),1043,2,SSL,194,Sharianne Ziola,2016 Chevy Corvette Z06,Multi,146.456,0.817,119.655,0.083,18.417,8461,2016,Chevy Corvette Z06,Sharianne,Ziola,White Lake,MI,1051
T,3,83,MacKenzi Crowe,2018 Porsche 718 Cayman,GBridgestone,Southern I,80.635,75.990,73.889,148.351,,,,"Newburgh, IN",,Porsche*,Midwest,79.342,75.641,74.462,(1.895),1098,3,SSL,83,MacKenzi Crowe,2018 Porsche 718 Cayman G,Bridgestone,148.351,0.817,121.203,0.139,19.966,8353,2018,Porsche 718 Cayman G,MacKenzi,Crowe,Newburgh,IN,1119
T,4,176,Kristi Brown,2016 Porsche Cayman,Bridgestone*,Northwest,85.981,72.926,78.622,148.442,,,[76],"Des Moines, WA",Solemn,Cellars - Tastings Availab Porsche*,NorPac,77.015,75.516,75.650(1),(0.091),1105,4,SSL,176,Kristi Brown,2016 Porsche Cayman,Bridgestone,148.442,0.817,121.277,0.002,20.040,8348,2016,Porsche Cayman,Kristi,Brown,Des Moines,WA,1127
,5,94,Casey Hoffman,2016 Chevrolet Corvette Z0,Multi,Detroit,85.943,DNF,78.515(1),150.356,,,[194],"Auburn Hills, MI",careers.gm.com,Chevrolet*,Great Lakes,80.483(1),74.426,71.841,(1.914),1161,5,SSL,94,Casey Hoffman,2016 Chevy Corvette Z06,Multi,150.356,0.817,122.841,0.045,21.604,8241,2016,Chevy Corvette Z06,Casey,Hoffman,Auburn Hills,MI,1181
,6,76,Wendy Gulick,2016 Porsche Cayman GT4,Bridgestone*,Northwest,82.851,77.028,73.855,150.820,,,[176],"Bellevue, WA",,Porsche*,NorPac,80.942,77.494,76.965,(0.464),1175,6,SSL,76,Wendy Gulick,2016 Porsche Cayman GT4,Bridgestone,150.820,0.817,123.220,0.035,21.983,8216,2016,Porsche Cayman GT4,Wendy,Gulick,Bellevue,WA,1194
,7,191,Julie Starr,2017 Chevrolet Corvette Gr,Bridgestone*,Detroit,85.505(1),DNF,74.055,152.069,,,[91],"Farmington Hills, MI",careers.gm.com,Chevrolet*,Great Lakes,85.032,78.014,DNF,(1.249),1201,7,SSL,191,Julie Starr,2017 Chevy Corvette GS,Bridgestone,152.069,0.817,124.240,0.009,23.003,8148,2017,Chevy Corvette GS,Julie,Starr,Farmington Hills,MI,1218
,8,91,Leslie Urff,2017 Chevrolet Corvette Gr,Bridgestone*,Detroit,89.393,79.105,77.009,154.454,,,[191],"Lake Orion, MI",careers.gm.com,Chevrolet*,Great Lakes,83.744(1),77.445,77.705,(2.385),1235,8,SSL,91,Leslie Urff,2017 Chevy Corvette GS,Bridgestone,154.454,0.817,126.189,0.079,24.952,8023,2017,Chevy Corvette GS,Leslie,Urff,Lake Orion,MI,1268
,9,18,Becky Pearson,2015 Porsche Cayman S,Bridgestone,Arctic Al,88.716,80.920,76.641,155.214,,,,"Chugiak, AK",Eight,Stars Racing Porsche*,NorPac,86.662,81.339,78.573,(0.760),1241,9,SSL,18,Becky Pearson,2015 Porsche Cayman S,Bridgestone,155.214,0.817,126.810,0.120,25.573,7983,2015,Porsche Cayman S,Becky,Pearson,Chugiak,AK,1279
,10,17,Katie Calvert,2017 aCURA NSX,Bridgestone,Northwest,DNF,84.995(1),80.517,157.654,,,[78],"Ostrander, OH",,,Midwest,85.270,78.343,77.137,(2.440),1272,10,SSL,17,Katie Calvert,2017 Acura NSX,Bridgestone,157.654,0.817,128.803,0.167,27.566,7860,2017,Acura NSX,Katie,Calvert,Ostrander,OH,1299
T,1,171,William Bostic,2003 Chevrolet Corvette Z0,Multi,Central C,84.947,80.617(1),77.264,138.805,,,[71],"Simpsonville, SC",DDP Yoga | BFGoodrich Racing,,Southeast,65.905(1),62.038,61.541,,602,1,AS,171,William Bostic,2003 Chevy Corvette Z06,Michelin,138.805,0.814,112.987,0.036,11.750,8960,2003,Chevy Corvette Z06,William,Bostic,Simpsonville,SC,698
